t              u1              u2
0.167838       0.173664      -0.428096
0.168771       0.174662      -0.428115
0.169704       0.175661      -0.428133
0.170637       0.176659      -0.428150
0.171569       0.177657      -0.428166
0.172501       0.178655      -0.428182
0.173432       0.179653      -0.428196
0.174363       0.180651      -0.428210
0.175294       0.181649      -0.428223
0.176225       0.182648      -0.428236
0.177155       0.183646      -0.428247
0.178085       0.184644      -0.428258
0.179014       0.185642      -0.428268
0.179943       0.186640      -0.428278
0.180872       0.187638      -0.428286
0.181801       0.188636      -0.428294
0.182729       0.189635      -0.428301
0.183657       0.190633      -0.428307
0.184585       0.191631      -0.428312
0.185512       0.192629      -0.428317
0.186439       0.193627      -0.428321
0.187366       0.194625      -0.428324
0.188292       0.195623      -0.428326
0.189218       0.196622      -0.428327
0.190144       0.197620      -0.428328
0.191069       0.198618      -0.428328
0.191994       0.199616      -0.428327
0.192919       0.200614      -0.428326
0.193843       0.201612      -0.428323
0.194768       0.202610      -0.428320
0.195691       0.203609      -0.428316
0.196615       0.204607      -0.428312
0.197538       0.205605      -0.428306
0.198461       0.206603      -0.428300
0.199383       0.207601      -0.428293
0.200306       0.208599      -0.428286
0.201228       0.209598      -0.428277
0.202149       0.210596      -0.428268
0.203071       0.211594      -0.428258
0.203992       0.212592      -0.428247
0.204912       0.213590      -0.428236
0.205833       0.214588      -0.428224
0.206753       0.215586      -0.428211
0.207673       0.216585      -0.428197
0.208592       0.217583      -0.428182
0.209511       0.218581      -0.428167
0.210430       0.219579      -0.428151
0.211349       0.220577      -0.428135
0.212267       0.221575      -0.428117
0.213185       0.222574      -0.428099
0.214103       0.223572      -0.428080
0.215020       0.224570      -0.428060
0.215937       0.225568      -0.428040
0.216854       0.226566      -0.428019
0.217770       0.227564      -0.427997
0.218686       0.228563      -0.427974
0.219602       0.229561      -0.427951
0.220518       0.230559      -0.427927
0.221433       0.231557      -0.427902
0.222348       0.232555      -0.427876
0.223263       0.233553      -0.427850
0.224177       0.234552      -0.427823
0.225091       0.235550      -0.427795
0.226005       0.236548      -0.427766
0.226918       0.237546      -0.427737
0.227832       0.238544      -0.427707
0.228745       0.239543      -0.427676
0.229657       0.240541      -0.427645
0.230570       0.241539      -0.427613
0.231482       0.242537      -0.427580
0.232393       0.243535      -0.427546
0.233305       0.244533      -0.427512
0.234216       0.245532      -0.427477
0.235127       0.246530      -0.427441
0.236037       0.247528      -0.427404
0.236948       0.248526      -0.427367
0.237858       0.249524      -0.427329
0.238767       0.250522      -0.427291
0.239677       0.251521      -0.427251
0.240586       0.252519      -0.427211
0.241495       0.253517      -0.427170
0.242404       0.254515      -0.427129
0.243312       0.255513      -0.427086
0.244220       0.256512      -0.427044
0.245128       0.257510      -0.427000
0.246035       0.258508      -0.426955
0.246942       0.259506      -0.426910
0.247849       0.260504      -0.426865
0.248756       0.261502      -0.426818
0.249662       0.262501      -0.426771
0.250568       0.263499      -0.426723
0.251474       0.264497      -0.426674
0.252380       0.265495      -0.426625
0.253285       0.266493      -0.426575
0.254190       0.267492      -0.426524
0.255094       0.268490      -0.426473
0.255999       0.269488      -0.426421
0.256903       0.270486      -0.426368
0.257807       0.271484      -0.426314
0.258710       0.272483      -0.426260
0.259614       0.273481      -0.426205
0.260517       0.274479      -0.426150
0.261420       0.275477      -0.426093
