t              u1             u2             u3
0.098125       1.000000       2.294375       3.000000
0.098750       1.000000       2.296250       3.000000
0.099375       1.000000       2.298125       3.000000
0.100000       1.000000       2.300000       3.000000
0.100625       1.000000       2.301875       3.000000
0.101250       1.000000       2.303750       3.000000
0.101875       1.000000       2.305625       3.000000
0.102500       1.000000       2.307500       3.000000
0.103125       1.000000       2.309375       3.000000
0.103750       1.000000       2.311250       3.000000
0.104375       1.000000       2.313125       3.000000
0.105000       1.000000       2.315000       3.000000
0.105625       1.000000       2.316875       3.000000
0.106250       1.000000       2.318750       3.000000
0.106875       1.000000       2.320625       3.000000
0.107500       1.000000       2.322500       3.000000
0.108125       1.000000       2.324375       3.000000
0.108750       1.000000       2.326250       3.000000
0.109375       1.000000       2.328125       3.000000
0.110000       1.000000       2.330000       3.000000
0.110625       1.000000       2.331875       3.000000
0.111250       1.000000       2.333750       3.000000
0.111875       1.000000       2.335625       3.000000
0.112500       1.000000       2.337500       3.000000
0.113125       1.000000       2.339375       3.000000
0.113750       1.000000       2.341250       3.000000
0.114375       1.000000       2.343125       3.000000
0.115000       1.000000       2.345000       3.000000
0.115625       1.000000       2.346875       3.000000
0.116250       1.000000       2.348750       3.000000
0.116875       1.000000       2.350625       3.000000
0.117500       1.000000       2.352500       3.000000
0.118125       1.000000       2.354375       3.000000
0.118750       1.000000       2.356250       3.000000
0.119375       1.000000       2.358125       3.000000
0.120000       1.000000       2.360000       3.000000
0.120625       1.000000       2.361875       3.000000
0.121250       1.000000       2.363750       3.000000
0.121875       1.000000       2.365625       3.000000
0.122500       1.000000       2.367500       3.000000
0.123125       1.000000       2.369375       3.000000
0.123750       1.000000       2.371250       3.000000
0.124375       1.000000       2.373125       3.000000
0.125000       1.000000       2.375000       3.000000
0.125625       1.000000       2.376875       3.000000
0.126250       1.000000       2.378750       3.000000
0.126875       1.000000       2.380625       3.000000
0.127500       1.000000       2.382500       3.000000
0.128125       1.000000       2.384375       3.000000
0.128750       1.000000       2.386250       3.000000
0.129375       1.000000       2.388125       3.000000
0.130000       1.000000       2.390000       3.000000
0.130625       1.000000       2.391875       3.000000
0.131250       1.000000       2.393750       3.000000
0.131875       1.000000       2.395625       3.000000
0.132500       1.000000       2.397500       3.000000
0.133125       1.000000       2.399375       3.000000
0.133750       1.000000       2.401250       3.000000
0.134375       1.000000       2.403125       3.000000
0.135000       1.000000       2.405000       3.000000
0.135625       1.000000       2.406875       3.000000
0.136250       1.000000       2.408750       3.000000
0.136875       1.000000       2.410625       3.000000
0.137500       1.000000       2.412500       3.000000
0.138125       1.000000       2.414375       3.000000
0.138750       1.000000       2.416250       3.000000
0.139375       1.000000       2.418125       3.000000
0.140000       1.000000       2.420000       3.000000
0.140625       1.000000       2.421875       3.000000
0.141250       1.000000       2.423750       3.000000
0.141875       1.000000       2.425625       3.000000
0.142500       1.000000       2.427500       3.000000
0.143125       1.000000       2.429375       3.000000
0.143750       1.000000       2.431250       3.000000
0.144375       1.000000       2.433125       3.000000
0.145000       1.000000       2.435000       3.000000
0.145625       1.000000       2.436875       3.000000
0.146250       1.000000       2.438750       3.000000
0.146875       1.000000       2.440625       3.000000
0.147500       1.000000       2.442500       3.000000
0.148125       1.000000       2.444375       3.000000
0.148750       1.000000       2.446250       3.000000
0.149375       1.000000       2.448125       3.000000
0.150000       1.000000       2.450000       3.000000
0.150625       1.000000       2.451875       3.000000
0.151250       1.000000       2.453750       3.000000
0.151875       1.000000       2.455625       3.000000
0.152500       1.000000       2.457500       3.000000
0.153125       1.000000       2.459375       3.000000
0.153750       1.000000       2.461250       3.000000
0.154375       1.000000       2.463125       3.000000
0.155000       1.000000       2.465000       3.000000
0.155625       1.000000       2.466875       3.000000
0.156250       1.000000       2.468750       3.000000
0.156875       1.000000       2.470625       3.000000
0.157500       1.000000       2.472500       3.000000
0.158125       1.000000       2.474375       3.000000
0.158750       1.000000       2.476250       3.000000
0.159375       1.000000       2.478125       3.000000
0.160000       1.000000       2.480000       3.000000
0.160625       1.000000       2.481875       3.000000
0.161250       1.000000       2.483750       3.000000
0.161875       1.000000       2.485625       3.000000
0.162500       1.000000       2.487500       3.000000
0.163125       1.000000       2.489375       3.000000
0.163750       1.000000       2.491250       3.000000
0.164375       1.000000       2.493125       3.000000
0.165000       1.000000       2.495000       3.000000
0.165625       1.000000       2.496875       3.000000
0.166250       1.000000       2.498750       3.000000
0.166875       1.000000       2.500625       3.000000
0.167500       1.000000       2.502500       3.000000
0.168125       1.000000       2.504375       3.000000
0.168750       1.000000       2.506250       3.000000
0.169375       1.000000       2.508125       3.000000
0.170000       1.000000       2.510000       3.000000
0.170625       1.000000       2.511875       3.000000
0.171250       1.000000       2.513750       3.000000
0.171875       1.000000       2.515625       3.000000
0.172500       1.000000       2.517500       3.000000
0.173125       1.000000       2.519375       3.000000
0.173750       1.000000       2.521250       3.000000
0.174375       1.000000       2.523125       3.000000
0.175000       1.000000       2.525000       3.000000
0.175625       1.000000       2.526875       3.000000
0.176250       1.000000       2.528750       3.000000
0.176875       1.000000       2.530625       3.000000
0.177500       1.000000       2.532500       3.000000
0.178125       1.000000       2.534375       3.000000
0.178750       1.000000       2.536250       3.000000
0.179375       1.000000       2.538125       3.000000
0.180000       1.000000       2.540000       3.000000
0.180625       1.000000       2.541875       3.000000
0.181250       1.000000       2.543750       3.000000
0.181875       1.000000       2.545625       3.000000
0.182500       1.000000       2.547500       3.000000
0.183125       1.000000       2.549375       3.000000
0.183750       1.000000       2.551250       3.000000
0.184375       1.000000       2.553125       3.000000
0.185000       1.000000       2.555000       3.000000
0.185625       1.000000       2.556875       3.000000
0.186250       1.000000       2.558750       3.000000
0.186875       1.000000       2.560625       3.000000
0.187500       1.000000       2.562500       3.000000
0.188125       1.000000       2.564375       3.000000
0.188750       1.000000       2.566250       3.000000
0.189375       1.000000       2.568125       3.000000
0.190000       1.000000       2.570000       3.000000
0.190625       1.000000       2.571875       3.000000
0.191250       1.000000       2.573750       3.000000
0.191875       1.000000       2.575625       3.000000
0.192500       1.000000       2.577500       3.000000
0.193125       1.000000       2.579375       3.000000
0.193750       1.000000       2.581250       3.000000
0.194375       1.000000       2.583125       3.000000
0.195000       1.000000       2.585000       3.000000
0.195625       1.000000       2.586875       3.000000
0.196250       1.000000       2.588750       3.000000
0.196875       1.000000       2.590625       3.000000
0.197500       1.000000       2.592500       3.000000
0.198125       1.000000       2.594375       3.000000
0.198750       1.000000       2.596250       3.000000
0.199375       1.000000       2.598125       3.000000
0.200000       1.000000       2.600000       3.000000
0.200625       1.000000       2.601875       3.000000
0.201250       1.000000       2.603750       3.000000
0.201875       1.000000       2.605625       3.000000
0.202500       1.000000       2.607500       3.000000
0.203125       1.000000       2.609375       3.000000
0.203750       1.000000       2.611250       3.000000
0.204375       1.000000       2.613125       3.000000
0.205000       1.000000       2.615000       3.000000
0.205625       1.000000       2.616875       3.000000
0.206250       1.000000       2.618750       3.000000
0.206875       1.000000       2.620625       3.000000
0.207500       1.000000       2.622500       3.000000
0.208125       1.000000       2.624375       3.000000
0.208750       1.000000       2.626250       3.000000
0.209375       1.000000       2.628125       3.000000
0.210000       1.000000       2.630000       3.000000
0.210625       1.000000       2.631875       3.000000
0.211250       1.000000       2.633750       3.000000
0.211875       1.000000       2.635625       3.000000
0.212500       1.000000       2.637500       3.000000
0.213125       1.000000       2.639375       3.000000
0.213750       1.000000       2.641250       3.000000
0.214375       1.000000       2.643125       3.000000
0.215000       1.000000       2.645000       3.000000
0.215625       1.000000       2.646875       3.000000
0.216250       1.000000       2.648750       3.000000
0.216875       1.000000       2.650625       3.000000
0.217500       1.000000       2.652500       3.000000
0.218125       1.000000       2.654375       3.000000
0.218750       1.000000       2.656250       3.000000
0.219375       1.000000       2.658125       3.000000
0.220000       1.000000       2.660000       3.000000
0.220625       1.000000       2.661875       3.000000
0.221250       1.000000       2.663750       3.000000
0.221875       1.000000       2.665625       3.000000
0.222500       1.000000       2.667500       3.000000
0.223125       1.000000       2.669375       3.000000
0.223750       1.000000       2.671250       3.000000
0.224375       1.000000       2.673125       3.000000
0.225000       1.000000       2.675000       3.000000
0.225625       1.000000       2.676875       3.000000
0.226250       1.000000       2.678750       3.000000
0.226875       1.000000       2.680625       3.000000
0.227500       1.000000       2.682500       3.000000
0.228125       1.000000       2.684375       3.000000
0.228750       1.000000       2.686250       3.000000
0.229375       1.000000       2.688125       3.000000
0.230000       1.000000       2.690000       3.000000
0.230625       1.000000       2.691875       3.000000
0.231250       1.000000       2.693750       3.000000
0.231875       1.000000       2.695625       3.000000
0.232500       1.000000       2.697500       3.000000
0.233125       1.000000       2.699375       3.000000
0.233750       1.000000       2.701250       3.000000
0.234375       1.000000       2.703125       3.000000
0.235000       1.000000       2.705000       3.000000
0.235625       1.000000       2.706875       3.000000
0.236250       1.000000       2.708750       3.000000
0.236875       1.000000       2.710625       3.000000
0.237500       1.000000       2.712500       3.000000
0.238125       1.000000       2.714375       3.000000
0.238750       1.000000       2.716250       3.000000
0.239375       1.000000       2.718125       3.000000
0.240000       1.000000       2.720000       3.000000
0.240625       1.000000       2.721875       3.000000
0.241250       1.000000       2.723750       3.000000
0.241875       1.000000       2.725625       3.000000
0.242500       1.000000       2.727500       3.000000
0.243125       1.000000       2.729375       3.000000
0.243750       1.000000       2.731250       3.000000
0.244375       1.000000       2.733125       3.000000
0.245000       1.000000       2.735000       3.000000
0.245625       1.000000       2.736875       3.000000
0.246250       1.000000       2.738750       3.000000
0.246875       1.000000       2.740625       3.000000
0.247500       1.000000       2.742500       3.000000
0.248125       1.000000       2.744375       3.000000
0.248750       1.000000       2.746250       3.000000
0.249375       1.000000       2.748125       3.000000
0.250000       1.000000       2.750000       3.000000
0.250625       1.000000       2.751875       3.000000
0.251250       1.000000       2.753750       3.000000
0.251875       1.000000       2.755625       3.000000
0.252500       1.000000       2.757500       3.000000
0.253125       1.000000       2.759375       3.000000
0.253750       1.000000       2.761250       3.000000
0.254375       1.000000       2.763125       3.000000
0.255000       1.000000       2.765000       3.000000
0.255625       1.000000       2.766875       3.000000
0.256250       1.000000       2.768750       3.000000
0.256875       1.000000       2.770625       3.000000
0.257500       1.000000       2.772500       3.000000
0.258125       1.000000       2.774375       3.000000
0.258750       1.000000       2.776250       3.000000
0.259375       1.000000       2.778125       3.000000
0.260000       1.000000       2.780000       3.000000
0.260625       1.000000       2.781875       3.000000
0.261250       1.000000       2.783750       3.000000
0.261875       1.000000       2.785625       3.000000
0.262500       1.000000       2.787500       3.000000
0.263125       1.000000       2.789375       3.000000
0.263750       1.000000       2.791250       3.000000
0.264375       1.000000       2.793125       3.000000
0.265000       1.000000       2.795000       3.000000
0.265625       1.000000       2.796875       3.000000
0.266250       1.000000       2.798750       3.000000
0.266875       1.000000       2.800625       3.000000
0.267500       1.000000       2.802500       3.000000
0.268125       1.000000       2.804375       3.000000
0.268750       1.000000       2.806250       3.000000
0.269375       1.000000       2.808125       3.000000
0.270000       1.000000       2.810000       3.000000
0.270625       1.000000       2.811875       3.000000
0.271250       1.000000       2.813750       3.000000
0.271875       1.000000       2.815625       3.000000
0.272500       1.000000       2.817500       3.000000
0.273125       1.000000       2.819375       3.000000
0.273750       1.000000       2.821250       3.000000
0.274375       1.000000       2.823125       3.000000
0.275000       1.000000       2.825000       3.000000
0.275625       1.000000       2.826875       3.000000
0.276250       1.000000       2.828750       3.000000
