t              u1             u2             u3
0.046302       1.000000       2.138907       3.000000
0.046636       1.000000       2.139907       3.000000
0.046969       1.000000       2.140906       3.000000
0.047302       1.000000       2.141905       3.000000
0.047635       1.000000       2.142905       3.000000
0.047968       1.000000       2.143904       3.000000
0.048301       1.000000       2.144903       3.000000
0.048634       1.000000       2.145903       3.000000
0.048967       1.000000       2.146902       3.000000
0.049300       1.000000       2.147901       3.000000
0.049634       1.000000       2.148901       3.000000
0.049967       1.000000       2.149900       3.000000
0.050300       1.000000       2.150899       3.000000
0.050633       1.000000       2.151899       3.000000
0.050966       1.000000       2.152898       3.000000
0.051299       1.000000       2.153897       3.000000
0.051632       1.000000       2.154897       3.000000
0.051965       1.000000       2.155896       3.000000
0.052298       1.000000       2.156895       3.000000
0.052632       1.000000       2.157895       3.000000
0.052965       1.000000       2.158894       3.000000
0.053298       1.000000       2.159893       3.000000
0.053631       1.000000       2.160893       3.000000
0.053964       1.000000       2.161892       3.000000
0.054297       1.000000       2.162891       3.000000
0.054630       1.000000       2.163891       3.000000
0.054963       1.000000       2.164890       3.000000
0.055296       1.000000       2.165889       3.000000
0.055630       1.000000       2.166889       3.000000
0.055963       1.000000       2.167888       3.000000
0.056296       1.000000       2.168887       3.000000
0.056629       1.000000       2.169887       3.000000
0.056962       1.000000       2.170886       3.000000
0.057295       1.000000       2.171885       3.000000
0.057628       1.000000       2.172885       3.000000
0.057961       1.000000       2.173884       3.000000
0.058294       1.000000       2.174883       3.000000
0.058628       1.000000       2.175883       3.000000
0.058961       1.000000       2.176882       3.000000
0.059294       1.000000       2.177881       3.000000
0.059627       1.000000       2.178881       3.000000
0.059960       1.000000       2.179880       3.000000
0.060293       1.000000       2.180879       3.000000
0.060626       1.000000       2.181879       3.000000
0.060959       1.000000       2.182878       3.000000
0.061292       1.000000       2.183877       3.000000
0.061626       1.000000       2.184877       3.000000
0.061959       1.000000       2.185876       3.000000
0.062292       1.000000       2.186875       3.000000
0.062625       1.000000       2.187875       3.000000
0.062958       1.000000       2.188874       3.000000
0.063291       1.000000       2.189873       3.000000
0.063624       1.000000       2.190873       3.000000
0.063957       1.000000       2.191872       3.000000
0.064290       1.000000       2.192871       3.000000
0.064624       1.000000       2.193871       3.000000
0.064957       1.000000       2.194870       3.000000
0.065290       1.000000       2.195869       3.000000
0.065623       1.000000       2.196869       3.000000
0.065956       1.000000       2.197868       3.000000
0.066289       1.000000       2.198867       3.000000
0.066622       1.000000       2.199867       3.000000
0.066955       1.000000       2.200866       3.000000
0.067288       1.000000       2.201865       3.000000
0.067622       1.000000       2.202865       3.000000
0.067955       1.000000       2.203864       3.000000
0.068288       1.000000       2.204863       3.000000
0.068621       1.000000       2.205863       3.000000
0.068954       1.000000       2.206862       3.000000
0.069287       1.000000       2.207861       3.000000
0.069620       1.000000       2.208861       3.000000
0.069953       1.000000       2.209860       3.000000
0.070286       1.000000       2.210859       3.000000
0.070620       1.000000       2.211859       3.000000
0.070953       1.000000       2.212858       3.000000
0.071286       1.000000       2.213857       3.000000
0.071619       1.000000       2.214857       3.000000
0.071952       1.000000       2.215856       3.000000
0.072285       1.000000       2.216855       3.000000
0.072618       1.000000       2.217855       3.000000
0.072951       1.000000       2.218854       3.000000
0.073284       1.000000       2.219853       3.000000
0.073618       1.000000       2.220853       3.000000
0.073951       1.000000       2.221852       3.000000
0.074284       1.000000       2.222851       3.000000
0.074617       1.000000       2.223851       3.000000
0.074950       1.000000       2.224850       3.000000
0.075283       1.000000       2.225849       3.000000
0.075616       1.000000       2.226849       3.000000
0.075949       1.000000       2.227848       3.000000
0.076282       1.000000       2.228847       3.000000
0.076616       1.000000       2.229847       3.000000
0.076949       1.000000       2.230846       3.000000
0.077282       1.000000       2.231845       3.000000
0.077615       1.000000       2.232845       3.000000
0.077948       1.000000       2.233844       3.000000
0.078281       1.000000       2.234843       3.000000
0.078614       1.000000       2.235843       3.000000
0.078947       1.000000       2.236842       3.000000
0.079280       1.000000       2.237841       3.000000
0.079614       1.000000       2.238841       3.000000
0.079947       1.000000       2.239840       3.000000
0.080280       1.000000       2.240839       3.000000
0.080613       1.000000       2.241839       3.000000
0.080946       1.000000       2.242838       3.000000
0.081279       1.000000       2.243837       3.000000
0.081612       1.000000       2.244837       3.000000
0.081945       1.000000       2.245836       3.000000
0.082278       1.000000       2.246835       3.000000
0.082612       1.000000       2.247835       3.000000
0.082945       1.000000       2.248834       3.000000
0.083278       1.000000       2.249833       3.000000
0.083611       1.000000       2.250833       3.000000
0.083944       1.000000       2.251832       3.000000
0.084277       1.000000       2.252831       3.000000
0.084610       1.000000       2.253831       3.000000
0.084943       1.000000       2.254830       3.000000
0.085276       1.000000       2.255829       3.000000
0.085610       1.000000       2.256829       3.000000
0.085943       1.000000       2.257828       3.000000
0.086276       1.000000       2.258827       3.000000
0.086609       1.000000       2.259827       3.000000
0.086942       1.000000       2.260826       3.000000
0.087275       1.000000       2.261825       3.000000
0.087608       1.000000       2.262825       3.000000
0.087941       1.000000       2.263824       3.000000
0.088274       1.000000       2.264823       3.000000
0.088608       1.000000       2.265823       3.000000
0.088941       1.000000       2.266822       3.000000
0.089274       1.000000       2.267821       3.000000
0.089607       1.000000       2.268821       3.000000
0.089940       1.000000       2.269820       3.000000
0.090273       1.000000       2.270819       3.000000
0.090606       1.000000       2.271819       3.000000
0.090939       1.000000       2.272818       3.000000
0.091272       1.000000       2.273817       3.000000
0.091606       1.000000       2.274817       3.000000
0.091939       1.000000       2.275816       3.000000
0.092272       1.000000       2.276815       3.000000
0.092605       1.000000       2.277815       3.000000
0.092938       1.000000       2.278814       3.000000
0.093271       1.000000       2.279813       3.000000
0.093604       1.000000       2.280813       3.000000
0.093937       1.000000       2.281812       3.000000
0.094270       1.000000       2.282811       3.000000
0.094604       1.000000       2.283811       3.000000
0.094937       1.000000       2.284810       3.000000
0.095270       1.000000       2.285809       3.000000
0.095603       1.000000       2.286809       3.000000
0.095936       1.000000       2.287808       3.000000
0.096269       1.000000       2.288807       3.000000
0.096602       1.000000       2.289807       3.000000
0.096935       1.000000       2.290806       3.000000
0.097268       1.000000       2.291805       3.000000
0.097602       1.000000       2.292805       3.000000
0.097935       1.000000       2.293804       3.000000
0.098268       1.000000       2.294803       3.000000
0.098601       1.000000       2.295803       3.000000
0.098934       1.000000       2.296802       3.000000
0.099267       1.000000       2.297801       3.000000
